CODIGO_LINHA;NOME_LINHA;NOME_ITINERARIO;CODIGO_PARADA;LOGRADOURO;BAIRRO;LATITUDE;LONGITUDE;ORDEM_TPR;ORDEM_PRT
645;Av. Norte (Macaxeira);Principal;110000;Terminal Integrado Macaxeira;Dois Irmãos;-8 0 30.52;-34 56 18.28;1;35
645;Av. Norte (Macaxeira);Principal;110001;Avenida Norte;Macaxeira;-8 0 37.04;-34 56 8.87;2;0
645;Av. Norte (Macaxeira);Principal;110002;Avenida Norte;Macaxeira;-8 0 43.32;-34 56 1.69;3;0
645;Av. Norte (Macaxeira);Principal;110003;Avenida Norte;Macaxeira;-8 0 49.28;-34 55 54.16;4;0
645;Av. Norte (Macaxeira);Principal;110004;Avenida Norte;Macaxeira;-8   1 1.05;-34  55 48.13;5;0
645;Av. Norte (Macaxeira);Principal;110005;Avenida Norte;Macaxeira;-8 1 7.72;-34 55 41.18;6;0
645;Av. Norte (Macaxeira);Principal;110006;Avenida Norte;Macaxeira;-8 1 14.55;-34 55 32.60;7;0
645;Av. Norte (Macaxeira);Principal;110007;Avenida Norte;Casa Amarela;-8 1 14.88;-34 55 23.17;8;0
645;Av. Norte (Macaxeira);Principal;110008;Avenida Norte;Casa Amarela;-8 1 15.92;-34 55 13.32;9;0
645;Av. Norte (Macaxeira);Principal;110009;Avenida Norte;Casa Amarela;-8 1 16.68;-34 55 4.79;10;0
645;Av. Norte (Macaxeira);Principal;110010;Avenida Norte;Casa Amarela;-8 1 20.87;-34 54 54.01;11;0
645;Av. Norte (Macaxeira);Principal;110011;Avenida Norte;Casa Amarela;-8 1 23.90;-34 54 49.12;12;0
645;Av. Norte (Macaxeira);Principal;110012;Avenida Norte;Casa Amarela;-8 1 28.57;-34 54 37.45;13;0
