route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id","block_id","shape_id"
"483100","0","483100_ida_0_0","Sao Bernardo do Campo (Vila Sao Jose)",,"0",,"483100_ida"
"483100","0","483100_volta_0_0","Sao Caetano do Sul (Terminal Rodoviario Doutor Nicolau Delic)",,"1",,"483100_volta"
"488003","0","488003_volta_0_0","Sao Bernardo do Campo (Parque Selecta)",,"1",,"488003_volta"
"488003","0","488003_ida_0_0","Santo Andre (Jardim Cristiane)",,"0",,"488003_ida"
"500025","0","500025_ida_0_0","Sao Paulo (Fabrica Trol)",,"0",,"500025_ida"
"500025","0","500025_volta_0_0","Santo Andre (Jardim Cambui)",,"1",,"500025_volta"
"501002","0","501002_ida_0_0","Santo Andre (Terminal Metropolitano Santo Andre-Oeste)",,"0",,"501002_ida"
"501002","0","501002_volta_0_0","Sao Bernardo do Campo (Parque Alvarenga)",,"1",,"501002_volta"
"502070","0","502070_volta_0_0","Sao Bernardo do Campo (Paco Municipal)",,"1",,"502070_volta"
"502070","0","502070_ida_0_0","Sao Paulo (Saude)",,"0",,"502070_ida"
"503019","0","503019_ida_0_0","Sao Paulo (Terminal Sacoma)",,"0",,"503019_ida"
"503019","0","503019_volta_0_0","Santo Andre (Principe de Gales)",,"1",,"503019_volta"
"503048","0","503048_ida_0_0","Sao Paulo (Terminal Sacoma)",,"0",,"503048_ida"
"503048","0","503048_volta_0_0","Sao Caetano do Sul (Terminal Rodoviario Nicolau Delic)",,"1",,"503048_volta"
"505050","0","505050_ida_0_0","Sao Paulo (Tamanduatei)",,"0",,"505050_ida"
"505050","0","505050_volta_0_0","Santo Andre (Vila Palmares)",,"1",,"505050_volta"
"506038","0","506038_ida_0_0","Sao Bernardo do Campo (Bairro do Taboao)",,"0",,"506038_ida"
"506038","0","506038_volta_0_0","Santo Andre (Terminal Metropolitano Santo Andre-Leste)",,"1",,"506038_volta"
"506041","0","506041_ida_0_0","Sao Paulo (Terminal Sacoma)",,"0",,"506041_ida"
"506041","0","506041_volta_0_0","Sao Caetano do Sul (Nova Gerti)",,"1",,"506041_volta"
"506078","0","506078_ida_0_0","Sao Bernardo do Campo (Jardim Leblon)",,"0",,"506078_ida"
"506078","0","506078_volta_0_0","Sao Caetano do Sul (Terminal Rodoviario Nicolau Delic)",,"1",,"506078_volta"
"507059","0","507059_volta_0_0","Sao Bernardo do Campo (Paco Municipal)",,"1",,"507059_volta"
"507059","0","507059_ida_0_0","Sao Paulo (Saude)",,"0",,"507059_ida"
"537239","0","537239_ida_0_0","Sao Paulo (Saude)",,"0",,"537239_ida"
"537239","0","537239_volta_0_0","Diadema (Jardim das Maravilhas)",,"1",,"537239_volta"
"537272","0","537272_ida_0_0","Diadema (Terminal Metropolitano Diadema)",,"0",,"537272_ida"
"537272","0","537272_volta_0_0","Santo Andre (Terminal Metropolitano Santo Andre Oeste)",,"1",,"537272_volta"
"537363","0","537363_ida_0_0","Sao Paulo (Sao Miguel Paulista)",,"0",,"537363_ida"
"537363","0","537363_volta_0_0","Poa (Terminal Rodoviario Jardim Sao Jose)",,"1",,"537363_volta"
"537473","0","537473_volta_0_0","Embu das Artes (Vila Isis Cristina)",,"1",,"537473_volta"
"537473","0","537473_ida_0_0","Sao Paulo (Pinheiros)",,"0",,"537473_ida"
"537475","0","537475_ida_0_0","Itapecerica da Serra (Parque Paraiso)",,"0",,"537475_ida"
"537475","0","537475_volta_0_0","Sao Lourenco da Serra (Vila Rita Soares)",,"1",,"537475_volta"
"537498","0","537498_ida_0_0","Itapecerica da Serra (Valo Velho)",,"0",,"537498_ida"
"537498","0","537498_volta_0_0","Embu-Guacu (Chacara Florida)",,"1",,"537498_volta"
"537567","0","537567_ida_0_0","Itaquaquecetuba (Marengo)",,"0",,"537567_ida"
"537567","0","537567_volta_0_0","Poa (Terminal Rodoviario Pedro Fava - Cidade Kemel)",,"1",,"537567_volta"
"537665","0","537665_volta_0_0","Poa (Terminal Rodoviario Pedro Fava - Cidade Kemel)",,"1",,"537665_volta"
"537665","0","537665_ida_0_0","Sao Paulo (Metro Corinthians-Itaquera)",,"0",,"537665_ida"
"537757","0","537757_ida_0_0","Barueri (Alphaville 3 / Bradesco)",,"0",,"537757_ida"
"537757","0","537757_volta_0_0","Osasco (Vila Yolanda)",,"1",,"537757_volta"
"538065","0","538065_ida_0_0","Santo Andre (Terminal Metropolitano Santo Andre-Leste)",,"0",,"538065_ida"
"538065","0","538065_volta_0_0","Sao Caetano do Sul (Terminal Rodoviario Nicolau Delic)",,"1",,"538065_volta"
"538250","0","538250_ida_0_0","Sao Paulo (Terminal Metropolitano Jabaquara)",,"0",,"538250_ida"
"538250","0","538250_volta_0_0","Diadema (Terminal Metropolitano Piraporinha)",,"1",,"538250_volta"
"538436","0","538436_ida_0_0","Sao Paulo (Pinheiros)",,"0",,"538436_ida"
"538436","0","538436_volta_0_0","Embu das Artes (Jardim do Colegio)",,"1",,"538436_volta"
"538462","0","538462_volta_0_0","Embu das Artes (Jardim Sao Marcos)",,"1",,"538462_volta"
"538462","0","538462_ida_0_0","Sao Paulo (Pinheiros)",,"0",,"538462_ida"
"538587","0","538587_volta_0_0","Osasco (Jardim Elvira)",,"1",,"538587_volta"
"538587","0","538587_ida_0_0","Sao Paulo (Lapa)",,"0",,"538587_ida"
"538615","0","538615_ida_0_0","Mogi das Cruzes (Estacao Cptm Estudantes)",,"0",,"538615_ida"
"538615","0","538615_volta_0_0","Poa (T.R. Jardim Sao Jose)",,"1",,"538615_volta"
"539136","0","539136_volta_0_0","Diadema (Jardim Padre Anchieta)",,"1",,"539136_volta"
"539136","0","539136_ida_0_0","Sao Bernardo do Campo (Terminal Metropolitano de Sao Bernardo do Campo)",,"0",,"539136_ida"
"539404","0","539404_ida_0_0","Sao Paulo (Santo Amaro)",,"0",,"539404_ida"
"539404","0","539404_volta_0_0","Embu-Guacu (Vila Louro)",,"1",,"539404_volta"
"539410","0","539410_volta_0_0","Ferraz de Vasconcelos (Parque Sao Francisco)",,"1",,"539410_volta"
"539410","0","539410_ida_0_0","Mogi das Cruzes (Estacao Cptm Estudantes)",,"0",,"539410_ida"
"540006","0","540006_volta_0_0","Sao Caetano do Sul (Terminal Rodoviario Nicolau Delic)",,"1",,"540006_volta"
"540006","0","540006_ida_0_0","Diadema (Terminal Metropolitano Diadema)",,"0",,"540006_ida"
"540123","0","540123_ida_0_0","Sao Paulo (Metro Itaquera)",,"0",,"540123_ida"
"540123","0","540123_volta_0_0","Santo Andre (Terminal Metropolitano Santo Andre-Leste)",,"1",,"540123_volta"
"540285","0","540285_ida_0_0","Sao Paulo (Metro Sao Judas)",,"0",,"540285_ida"
"540285","0","540285_volta_0_0","Diadema (Terminal Metropolitano de Diadema)",,"1",,"540285_volta"
"540298","0","540298_ida_0_0","Diadema (Terminal Metropolitano Piraporinha)",,"0",,"540298_ida"
"540298","0","540298_volta_0_0","Santo Andre (Terminal Metropolitano Santo Andre Oeste)",,"1",,"540298_volta"
"540301","0","540301_volta_0_0","Diadema (Terminal Metropolitano Diadema)",,"1",,"540301_volta"
"540301","0","540301_ida_0_0","Sao Paulo (Terminal Metropolitano Jabaquara)",,"0",,"540301_ida"
"540351","0","540351_volta_0_0","Sao Bernardo do Campo (Jardim Nazareth)",,"1",,"540351_volta"
